Rot_X (deg),Rot_Y (deg),Rot_Z (deg),Gyro_Time (ns),Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,312613604210.0,0.11363706,-0.116040945,0.04406677
0.14430792984315288,-0.08734555435646557,0.024346041005699044,312649120897.0,0.17163701,0.0049588666,0.0070667183
0.23624220628649595,-0.029154046746112328,0.03729496282757053,312679563858.0,-0.0143628605,0.069958925,0.019066723
0.023669157597511203,0.016498157219961507,0.07267041200396504,312715080503.0,-0.33536288,-0.042040985,0.030066695
-0.25973580134350066,-0.3178638291835621,0.01529843562152524,312750597426.0,-0.1073628,-0.60404104,-0.15193318
-0.11645015901312605,-0.6623899363996656,-0.1475789782963179,312781040417.0,0.35963708,-0.112040944,-0.17893316
0.3987047445516949,-0.5961112625518409,-0.28258670089693905,312816557137.0,0.6636372,0.19595891,-0.10293312
1.0664094490757132,-0.6405403886960304,-0.37841920115949895,312852073999.0,0.6236368,-0.34801573,-0.07393428
1.528975513087698,-0.9271044521405047,-0.3707711284478618,312882516899.0,0.42863676,-0.13901575,0.11806553
1.7681792119874609,-0.758312645429322,-0.14352762078487982,312918033764.0,0.035636693,0.3219842,0.2660656
1.7187555099258396,-0.5300764661841613,0.024557984360843776,312953550499.0,-0.07136318,0.08498408,0.064065576
1.6680230665207785,-0.46878362251139194,0.0069243493519577995,312983993509.0,-0.04936324,0.110984154,-0.09293425
1.6072118457274973,-0.3085862226909778,-0.10402035465087703,313019510206.0,-0.05536318,0.16198415,-0.09693426
1.5779133144093698,-0.10319674340482837,-0.14778576522467984,313055027110.0,-0.009363226,0.2119841,0.005065585
1.5833306428098401,0.002500319148959096,-0.13791752060532253,313085469960.0,-0.015363161,0.023984155,0.012065555
1.4679451647432327,-0.01900142667184701,-0.10934715733832218,313120986831.0,-0.23736319,-0.02401573,0.050065503
1.112562016812119,-0.0030461209791362576,-0.04718712721733931,313156503610.0,-0.43436316,0.01898412,0.047065534
0.721994005520795,-0.044742343363447956,-0.04011199355078909,313186946418.0,-0.4473632,-0.087015726,-0.020934358
0.2845346340998659,-0.16901837566632294,-0.07406548659932738,313222463244.0,-0.43436316,-0.15801571,-0.019934325
-0.15707865053928044,-0.2910025547297996,-0.01949711661058588,313257979928.0,-0.42536327,-0.047015708,0.14706558
