Num,X,Y,Z,timestamp(timeIntervalSince1970)
1,-0.037215810269117355,-0.4184342622756958,0.3124108910560608,1652824254.561895
2,-0.10033725947141647,-0.4850716292858124,0.27494847774505615,1652824254.569771
3,-0.14802780747413635,-0.575692355632782,0.23949222266674042,1652824254.5799341
4,-0.20539842545986176,-0.653921902179718,0.19715248048305511,1652824254.589983
5,-0.25530633330345154,-0.6984890699386597,0.1350393146276474,1652824254.599989
6,-0.2727327346801758,-0.7152161598205566,0.06772524863481522,1652824254.609978
7,-0.26785513758659363,-0.6998597979545593,0.029883863404393196,1652824254.619928
8,-0.2463383972644806,-0.6542076468467712,-0.006720220670104027,1652824254.629947
9,-0.21583855152130127,-0.6109222173690796,-0.053404368460178375,1652824254.639926
10,-0.19989819824695587,-0.5307528376579285,-0.08683476597070694,1652824254.649123
11,-0.17605306208133698,-0.4479556679725647,-0.10932063311338425,1652824254.659945
12,-0.1194467693567276,-0.4242498278617859,-0.12359783798456192,1652824254.6699429
13,-0.07277220487594604,-0.47065913677215576,-0.09362901747226715,1652824254.67997
14,-0.03725495934486389,-0.5395609736442566,-0.039984166622161865,1652824254.689929
15,-0.03712126985192299,-0.6038475632667542,-0.01852947659790516,1652824254.69995
16,-0.10132608562707901,-0.6749973297119141,-0.013942181132733822,1652824254.709924
17,-0.19430476427078247,-0.769514799118042,-0.012317386455833912,1652824254.72
18,-0.3044608235359192,-0.9061487913131714,-2.1305288100847974e-05,1652824254.729918
19,-0.4128533601760864,-1.041561245918274,-0.007078149355947971,1652824254.7399979
20,-0.4715883135795593,-1.1434484720230103,-0.0341276116669178,1652824254.7499309
21,-0.49432796239852905,-1.1901512145996094,-0.08684355020523071,1652824254.759999
22,-0.49318546056747437,-1.1440130472183228,-0.13324381411075592,1652824254.7699099
23,-0.45940619707107544,-1.026484489440918,-0.17496542632579803,1652824254.77993
24,-0.3916252851486206,-0.9386215209960938,-0.19482435286045074,1652824254.78974
25,-0.31419602036476135,-0.886306643486023,-0.21533282101154327,1652824254.7995958
26,-0.2455892562866211,-0.8650645017623901,-0.24338975548744202,1652824254.8099961
27,-0.16627392172813416,-0.8912984728813171,-0.28573960065841675,1652824254.818989
28,-0.06997375935316086,-0.902275800704956,-0.33491700887680054,1652824254.829938
29,-0.004188353195786476,-0.9432336091995239,-0.3722310960292816,1652824254.8391929
30,0.008567122742533684,-1.050896406173706,-0.38431331515312195,1652824254.8499951
31,-0.01600559800863266,-1.1018669605255127,-0.37157994508743286,1652824254.85992
32,-0.04978353530168533,-1.0844115018844604,-0.31709378957748413,1652824254.8699632
33,-0.08994507044553757,-1.0335386991500854,-0.242122620344162,1652824254.8800101
34,-0.11479102820158005,-0.9870284795761108,-0.1664923131465912,1652824254.889193
35,-0.12276746332645416,-0.9804201126098633,-0.09491479396820068,1652824254.900001
36,-0.114589162170887,-0.984022319316864,-0.05403074622154236,1652824254.910019
37,-0.1001572236418724,-1.000381588935852,-0.0467107817530632,1652824254.919934
38,-0.08077847212553024,-1.0057376623153687,-0.0703873485326767,1652824254.930052
39,-0.05064213648438454,-0.9525003433227539,-0.09429534524679184,1652824254.9399462
40,-0.012296080589294434,-0.89854496717453,-0.13301503658294678,1652824254.950011
41,0.0008596684201620519,-0.8777440786361694,-0.16739192605018616,1652824254.9599319
42,-0.0011835087789222598,-0.879418671131134,-0.17891009151935577,1652824254.969922
43,-0.006255765445530415,-0.8861863017082214,-0.1558026522397995,1652824254.979913
44,-0.014568822458386421,-0.9301236271858215,-0.11763449013233185,1652824254.989952
45,-0.03664562851190567,-1.020491600036621,-0.08227010816335678,1652824254.999905
46,-0.0666477382183075,-1.1324552297592163,-0.06106575205922127,1652824255.009941
47,-0.10694056749343872,-1.216702938079834,-0.06281225383281708,1652824255.019895
48,-0.13837625086307526,-1.2549755573272705,-0.08496442437171936,1652824255.029958
49,-0.13899970054626465,-1.2899329662322998,-0.1062321662902832,1652824255.039155
50,-0.1523517221212387,-1.3177227973937988,-0.12567110359668732,1652824255.0499449
51,-0.16614370048046112,-1.318535327911377,-0.15132135152816772,1652824255.059926
52,-0.17555956542491913,-1.3027517795562744,-0.17862540483474731,1652824255.069562
53,-0.19211910665035248,-1.282360315322876,-0.1994800865650177,1652824255.079927
54,-0.1782323271036148,-1.221256971359253,-0.1944190114736557,1652824255.089927
55,-0.11839108914136887,-1.1643593311309814,-0.16384592652320862,1652824255.099911
56,-0.044859882444143295,-1.0976932048797607,-0.1415528655052185,1652824255.110007
57,0.010313889943063259,-1.0332180261611938,-0.1427568793296814,1652824255.119808
58,0.03151211887598038,-1.016022801399231,-0.1752557009458542,1652824255.1299682
59,0.0401839055120945,-1.0185054540634155,-0.17560750246047974,1652824255.139998
60,0.040496826171875,-1.0539262294769287,-0.16211433708667755,1652824255.149925
61,0.014507836662232876,-1.1051000356674194,-0.14047110080718994,1652824255.159822
62,-0.025945313274860382,-1.1476460695266724,-0.11115128546953201,1652824255.16965
63,-0.05940527096390724,-1.1969510316848755,-0.07929961383342743,1652824255.1799412
64,-0.07537811249494553,-1.2380458116531372,-0.0864882841706276,1652824255.189937
65,-0.10903620719909668,-1.2867896556854248,-0.1075323224067688,1652824255.199914
66,-0.15730813145637512,-1.3368102312088013,-0.10092634707689285,1652824255.209723
67,-0.19052574038505554,-1.3481496572494507,-0.042513106018304825,1652824255.219722
68,-0.22576415538787842,-1.3513697385787964,0.027535753324627876,1652824255.229924
69,-0.2671869695186615,-1.4090745449066162,0.049305498600006104,1652824255.2399101
70,-0.2927567660808563,-1.4832358360290527,0.03548369184136391,1652824255.2499828
71,-0.3237524926662445,-1.5487855672836304,-0.0009528790251351893,1652824255.259935
72,-0.3505241870880127,-1.5862023830413818,-0.024037959054112434,1652824255.269943
73,-0.3396894037723541,-1.59321928024292,-0.00871998816728592,1652824255.280003
74,-0.2966734766960144,-1.5910382270812988,0.027336549013853073,1652824255.289925
75,-0.24321824312210083,-1.6273045539855957,0.05019179731607437,1652824255.299944
