Num,X,Y,Z,timestamp(timeIntervalSince1970)
1,0.0025787353515625,-0.9668731689453125,-0.2915496826171875,1652822298.8973022
2,0.0025787353515625,-0.9668731689453125,-0.2915496826171875,1652822298.900402
3,0.012298583984375,-0.9595794677734375,-0.2516021728515625,1652822298.911102
4,0.0064849853515625,-0.9605712890625,-0.1984100341796875,1652822298.921146
5,-0.0128173828125,-0.9696502685546875,-0.1733245849609375,1652822298.931129
6,-0.0302734375,-0.980316162109375,-0.1749114990234375,1652822298.940929
7,-0.0375518798828125,-0.983978271484375,-0.1924896240234375,1652822298.951103
8,-0.048004150390625,-0.9749603271484375,-0.2193756103515625,1652822298.960666
9,-0.0307159423828125,-0.9842681884765625,-0.23248291015625,1652822298.970289
10,-0.0143585205078125,-0.987213134765625,-0.24908447265625,1652822298.981087
11,-0.002044677734375,-0.9808349609375,-0.2544708251953125,1652822298.991153
12,0.0285797119140625,-0.9768829345703125,-0.2496795654296875,1652822299.001117
13,0.046661376953125,-0.9742279052734375,-0.229217529296875,1652822299.011128
14,0.0363006591796875,-0.9675445556640625,-0.202484130859375,1652822299.020957
15,0.0207977294921875,-0.9609832763671875,-0.193817138671875,1652822299.031121
16,0.014312744140625,-0.9647216796875,-0.1976776123046875,1652822299.041101
17,0.0098114013671875,-0.96990966796875,-0.2064361572265625,1652822299.051125
18,0.0036773681640625,-0.9642333984375,-0.216033935546875,1652822299.061187
19,0.009796142578125,-0.9750823974609375,-0.240692138671875,1652822299.071104
20,0.00860595703125,-0.9995574951171875,-0.259124755859375,1652822299.081162
21,-0.0005340576171875,-1.017303466796875,-0.2553253173828125,1652822299.0912461
22,0.0058746337890625,-1.0093536376953125,-0.24188232421875,1652822299.101193
23,0.014251708984375,-1.002410888671875,-0.2408599853515625,1652822299.111129
24,-0.003570556640625,-0.9986114501953125,-0.2468719482421875,1652822299.121148
25,0.01312255859375,-0.98101806640625,-0.2626190185546875,1652822299.131206
26,0.0289306640625,-0.964935302734375,-0.2826080322265625,1652822299.14113
27,0.022857666015625,-0.958740234375,-0.3046875,1652822299.151147
28,0.023834228515625,-0.9477996826171875,-0.32769775390625,1652822299.161003
29,0.036407470703125,-0.9459228515625,-0.3273162841796875,1652822299.1711059
30,0.041595458984375,-0.9467926025390625,-0.32220458984375,1652822299.181157
31,0.0402374267578125,-0.94171142578125,-0.31256103515625,1652822299.1901178
32,0.0416717529296875,-0.9515533447265625,-0.3001556396484375,1652822299.201119
33,0.0249176025390625,-0.9664306640625,-0.2843170166015625,1652822299.211142
34,0.0104827880859375,-0.9598541259765625,-0.26373291015625,1652822299.221115
35,0.025146484375,-0.96173095703125,-0.2570953369140625,1652822299.231195
