Rot_X (deg),Rot_Y (deg),Rot_Z (deg),Gyro_Time (ns),Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,1551702287509293.0,-0.22602007,-0.01784493,0.03631581
-0.40416237248299536,-0.2277416103842918,0.12257409311483601,1551702320132991.0,-0.21258104,-0.22676069,0.048533108
-0.8352747387544135,-0.799901546029056,0.03238772465734373,1551702355120179.0,-0.22602007,-0.30495137,-0.13106112
-1.2245621270644602,-1.2966179400901672,-0.2741378367166418,1551702387076168.0,-0.17592916,-0.22065201,-0.17993031
-1.4235371919501705,-1.5875530964051032,-0.6241114952982746,1551702421491585.0,-0.0024435753,-0.08137486,-0.14327842
-1.2886125295585806,-1.7740822370403149,-0.738049707829102,1551702453448200.0,0.10995553,-0.18400013,0.038759273
-1.0386254809822488,-2.7696543113434875,-0.6010862708576251,1551702487857679.0,0.14049877,-0.75210434,0.030207165
-0.8052634027184489,-4.057457519495586,-0.7050494929403143,1551702519815647.0,0.07574711,-0.4393416,-0.1298394
-0.8512010970293562,-4.254855259696368,-1.0373481705894096,1551702554233825.0,-0.11362096,0.067676134,-0.17870858
-1.089726107868602,-4.5114718529771025,-1.3842111961808503,1551702586190595.0,-0.0989602,-0.3733682,-0.19459106
-1.156751284173491,-5.171044208700011,-1.785809817443331,1551702620601272.0,-0.0061087636,-0.14246133,-0.17504339
-1.2212389611813625,-4.987467264473649,-1.9922835997830952,1551702655020335.0,-0.07086042,0.20573157,-0.0064447187
-1.4325514983880663,-4.933809117712522,-1.789034582867144,1551702686977887.0,-0.13072516,-0.15223518,0.18903199
-1.5696641156931126,-5.333681692158015,-1.476808797172371,1551702721392158.0,0.019547556,-0.17544803,0.093737096
-1.415489467446929,-5.647260732831641,-1.3093472486330187,1551702753348512.0,0.095294766,-0.22676069,0.143828
-1.4550396696773242,-6.397920502186299,-0.835946597119338,1551702787767210.0,-0.18325953,-0.5346365,0.2733313
-2.034201892275128,-7.7672736685123995,-0.4863977076029995,1551702819715856.0,-0.37018412,-0.9060422,0.097402275
