Rot_X (deg),Rot_Y (deg),Rot_Z (deg),Gyro_Time (ns),Gyro_X,Gyro_Y,Gyro_Z
0.0,0.0,0.0,1551747190571614.0,-0.6572905,0.42686456,-0.53545356
-0.9554993839096078,0.40092675270320455,-0.8482857186162671,1551747224984895.0,-0.28832826,-0.041057788,-0.31432053
-1.4005242390264714,0.2552414755788701,-1.3505092290217684,1551747259394687.0,-0.25411984,-0.009292826,-0.2336864
-2.1314988250778963,0.5781368919342882,-1.8108596408892774,1551747291354791.0,-0.5229003,0.33034796,-0.2092518
-3.390797943704678,1.0275385954115797,-1.949520972009731,1551747325769478.0,-0.69882935,-0.04472298,0.05586348
-4.64073455380688,0.5988971504549057,-1.6849345067497632,1551747357718332.0,-0.6096431,-0.31961212,0.21346657
-5.738596314165564,0.0514997008571807,-1.2861712982005837,1551747392139218.0,-0.5057961,-0.17911321,0.12428033
-6.625233270047527,-0.0196170418437569,-1.3275720708155125,1551747424095728.0,-0.4483748,-0.0019624457,-0.13961324
-7.547395230698159,-0.28885222063627203,-1.4064709548470788,1551747458504062.0,-0.5131265,-0.3489336,0.1316107
-8.55049454161585,-1.2672557012682166,-0.9310971634538796,1551747490465416.0,-0.51801336,-0.6519225,0.34907857
-9.291706640147845,-2.639689952434817,-0.24087167598584847,1551747524877916.0,-0.19181164,-0.6421487,0.2733313
-9.434331751049159,-3.113762459415688,-0.1352332154837268,1551747559291457.0,-0.030543353,0.23383135,-0.19459106
-9.63024429834319,-2.4950297954979526,-0.575371145975764,1551747591250207.0,-0.17104223,0.26437455,-0.12739594
-10.028019194802814,-2.5486651532065534,-0.025583045304477192,1551747625663541.0,-0.26145023,-0.2854037,0.66306305
-10.84728121133415,-2.9934065878960476,1.3030900595553587,1551747657614687.0,-0.65851223,0.0041461997,0.5922027
-12.406705058949145,-2.428242480559064,1.834940669226465,1551747692034687.0,-0.76113755,0.39754307,-0.043096602
-13.469391844482967,-1.8275534049579831,1.6388793800834627,1551747726448072.0,-0.22968525,0.21184021,-0.039431415
-13.46842956580513,-1.6543703562411776,1.7309159947975337,1551747758400572.0,0.1624899,0.010254845,0.079076335
-13.152030071486797,-1.4788434047218917,1.6780920919324145,1551747793107239.0,0.084299214,0.22894442,-0.18481722
